City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Minab,IR,2022-10-01 17:55:17,27.1467,57.0801,303.1,73,0,1.79,clear sky
236,Nicolas Bravo,MX,2022-10-01 17:55:17,18.45,-88.9167,304.81,39,96,1.35,overcast clouds
237,Djibo,BF,2022-10-01 17:55:18,14.1022,-1.6306,305.87,40,82,5.77,broken clouds
238,Bam,IR,2022-10-01 17:55:19,29.106,58.357,300.32,13,0,3.53,clear sky
239,Key West,US,2022-10-01 17:55:20,24.5557,-81.7826,301.48,61,48,4.82,scattered clouds
240,Tortoli,IT,2022-10-01 17:55:20,39.9256,9.6572,292.51,58,26,2.81,scattered clouds
241,Nawalapitiya,LK,2022-10-01 17:55:21,7.0559,80.5348,293.56,97,99,1.48,overcast clouds
242,Ferme-Neuve,CA,2022-10-01 17:55:21,46.7001,-75.4493,285.07,71,100,4.22,overcast clouds
243,Urucara,BR,2022-10-01 17:55:22,-2.5364,-57.76,310.41,29,91,1.74,overcast clouds
244,Japura,ID,2022-10-01 17:55:22,-0.3167,102.35,296.63,98,100,1.41,overcast clouds
245,Kasongo-Lunda,CD,2022-10-01 17:55:23,-6.4667,16.8167,297.82,74,32,0.52,scattered clouds
246,Buraydah,SA,2022-10-01 17:55:23,26.326,43.975,303.4,13,0,5.0,clear sky
247,Quatre Cocos,MU,2022-10-01 17:55:24,-20.2078,57.7625,294.87,66,51,6.45,broken clouds
248,Peniche,PT,2022-10-01 17:55:24,39.3558,-9.3811,294.02,75,96,5.52,overcast clouds
249,Makokou,GA,2022-10-01 17:55:25,0.5738,12.8642,295.13,96,58,1.0,light rain
250,Cairo Montenotte,IT,2022-10-01 17:55:25,44.4031,8.2746,290.05,81,12,1.49,few clouds
251,Guipavas,FR,2022-10-01 17:55:26,48.4352,-4.3972,291.15,90,100,5.66,drizzle
252,Atar,MR,2022-10-01 17:55:26,20.5169,-13.0499,304.6,21,0,3.9,clear sky
253,Saint-Louis,SN,2022-10-01 17:55:27,16.3333,-15.0,309.95,23,38,3.06,scattered clouds
254,Beled,HU,2022-10-01 17:55:27,47.4659,17.0929,286.22,70,100,5.15,light rain
255,Paita,PE,2022-10-01 17:55:28,-5.0892,-81.1144,294.52,69,49,6.59,scattered clouds
256,Clevelandia,BR,2022-10-01 17:55:28,-26.3958,-52.4708,293.08,70,60,2.92,broken clouds
257,Komarikhinskiy,RU,2022-10-01 17:55:29,58.0979,57.1163,277.26,86,90,1.96,overcast clouds
